status;type;name;gender;age;children;adults_m;adults_f;address;zipcode;origin;phone;email;freetext;visits;food_concerns;created;bringing
1;guest;Semerab;male;30;;1;;Bauneveien 34;1182;Syria;99458457;Semerab@example.com;;;;2016-12-24 23:00:12;
1;guest;Daymon;male;28;;2;;Høvikstien 4;1363;Afghanistan;99458458;Daymon@example.com;;;;2016-12-24 23:00:12;
1;guest;shakr;male;31;3;1;1;Sigurd Hoels vei 108;655;Syria;99458459;shakr@example.com;;;;2016-12-24 23:00:12;
1;guest;mehari;male;54;4;1;1;Solheimvegen 2;9009;Egypt;99458460;mehari@example.com;;;;2016-12-24 23:00:12;
1;guest;Aboud;male;36;;1;;Fayesgate 11;455;Eritrea;99458461;Aboud@example.com;;;;2016-12-24 23:00:12;
1;guest;Ali Hamed;male;32;;1;;Damfaret 5;671;Etioopia;99458462;Ali Hamed@example.com;;;;2016-12-24 23:00:12;
1;host;Menderis;male;40;;1;;Fr.nansens vei 5b;1472;Zimbabwe;99458463;Menderis@example.com;;;;2016-12-24 23:00:12;
1;host;Jøran;male;37;;1;1;Rektorhaugen 21;876;Kløfta;99458464;Jøran@example.com;;;;2016-12-24 23:00:12;
1;host;Elin;female;27;0;0;4;Ruseløkkveien 45;251;Bergen;99458465;Elin@example.com;;;;2016-12-24 23:00:12;
1;host;Ragnhild;female;42;0;0;2;Radarveien 7;1152;Løten;99458466;Ragnhild@example.com;;;;2016-12-24 23:00:12;
1;host;Bendedicte;female;47;3;1;1;Markveien 29;554;Kløfta;99458467;Bendedicte@example.com;;;;2016-12-24 23:00:12;
1;host;Anne Siri;female;26;0;0;3;Thereses Gate 11 a;358;Bergen;99458468;Anne Siri@example.com;;;;2016-12-24 23:00:12;
1;host;Sunniva;female;29;1;1;1;Nannestad gt 5 d;654;Løten;99458469;Sunniva@example.com;;;;2016-12-24 23:00:12;
1;host;Kristoffer;male;54;0;2;1;Lusetjernveien 15;1253;Kløfta;99458470;Kristoffer@example.com;;;;2016-12-24 23:00:12;
1;host;Barbara;female;23;1;1;1;Trondheimsveien 158c;570;Bergen;99458471;Barbara@example.com;;;;2016-12-24 23:00:12;
1;host;Elisabeth;female;48;1;1;1;Thereses gate 14, Bislett;452;Løten;99458472;Elisabeth@example.com;;;;2016-12-24 23:00:12;
1;host;Kenneth;male;23;;1;1;Herregårdsveien 55A;1168;Bergen;99458473;Kenneth@example.com;;;;2016-12-24 23:00:12;
1;host;Hilde;female;34;1;;1;Herregårdsveien 55A;1168;Løten;99458474;Hilde@example.com;;;;2016-12-24 23:00:12;
1;host;Katja;female;20;;1;1;Protonveien 29, Bøler;690;Kløfta;99458475;Katja@example.com;;;;2016-12-24 23:00:12;
1;host;Anette;female;35;;;4;Christies gate 15;557;Bergen;99458476;Anette@example.com;;;;2016-12-24 23:00:12;
1;host;Ragnhild;female;36;2;1;1;Mauritz Hansensgt 4A;350;Løten;99458477;Ragnhild@example.com;;;;2016-12-24 23:00:12;
1;host;Bjørg;female;25;1;1;1;røhrtsv 4;1181;Kløfta;99458478;Bjørg@example.com;;;;2016-12-24 23:00:12;
1;host;Karin;female;51;;1;1;Ekebergveien 3J;192;Bergen;99458479;Karin@example.com;;;;2016-12-24 23:00:12;
1;host;Helena;female;39;2;1;1;Spireaveien 12a;850;Løten;99458480;Helena@example.com;;;;2016-12-24 23:00:12;
1;host;Ingeborg;female;34;1;1;1;Blakstad hageby 26a;1392;Kløfta;99458481;Ingeborg@example.com;;;;2016-12-24 23:00:12;
1;host;Ragne;female;45;;;1;Martin Borrebekkens Vei 30;584;Bergen;99458482;Ragne@example.com;;;;2016-12-24 23:00:12;
1;host;Jimmy;male;31;2;1;1;Skoleveien 16 A;1555;Løten;99458483;Jimmy@example.com;;;;2016-12-24 23:00:12;
